Instance, Start Time, Type, NE, Alarm No, Description, Supp Info, Cancle Time, Star Rating
1,2017-09-05 01:05:11.18,SWITCH,OMU 1A003-08 SOWADM,2337,AUTOMATIC RETURN ON,NW -> BU,2017-09-05 01:13:59.76,.
2,2017-09-05 01:05:36.30,SWITCH,OMU 1A003-08 XEHPRB,14003,FTP OR FTAM,00398471 02 218127d,2017-09-05 01:24:24.86,..
5,2017-09-05 01:10:58.91,TRANSM,SWU-1 1A005-03 ZYDEMI,2863,UNKNOWN LAN CONNECTION,1d ESB24_D 0d,2017-09-05 05:57:21.90,.
8,2017-09-05 01:11:24.68,SWITCH,ETPE-3-0 1A002-03 DPALAR,2794,HW BLOCK FAILURE,ETPE-3 0d FFFF,2017-09-05 01:14:23.50,..
9,2017-09-05 01:11:36.12,SWITCH,BCSU-0 1A003-00 PCU2_E-10,3019,NETWORK SERVICE ENTITY,00 1AF6 06,2017-09-05 01:11:36.13,..
10,2017-09-05 01:11:40.92,SWITCH,BCSU-1 1A004-00 PCU2_E-12,3019,NETWORK SERVICE ENTITY,00 1AF5 09,2017-09-05 01:11:40.93,..
15,2017-09-05 01:11:41.60,SWITCH,BCSU-0 1A003-00 PCU2_E-6,3019,NETWORK SERVICE ENTITY,00 1AF5 03,2017-09-05 01:11:41.61,..
16,2017-09-05 01:11:41.76,SWITCH,BCSU-1 1A004-00 PCU2_E-6,3019,NETWORK SERVICE ENTITY,00 1AF5 02,2017-09-05 01:11:41.76,..
26,2017-09-05 01:15:05.40,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00E4 FFFF,2017-09-05 01:17:23.50,.
27,2017-09-05 01:15:05.42,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00E5 FFFF,2017-09-05 01:17:23.51,.
28,2017-09-05 01:15:05.43,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00CC FFFF,2017-09-05 01:17:23.53,.
29,2017-09-05 01:15:05.45,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00E6 FFFF,2017-09-05 01:17:23.54,.
30,2017-09-05 01:15:05.45,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00E7 FFFF,2017-09-05 01:17:23.55,.
31,2017-09-05 01:15:05.47,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00F2 FFFF,2017-09-05 01:17:23.57,.
32,2017-09-05 01:15:05.49,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00E8 FFFF,2017-09-05 01:17:23.58,.
33,2017-09-05 01:15:05.50,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00E9 FFFF,2017-09-05 01:17:23.59,.
34,2017-09-05 01:15:05.51,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00EA FFFF,2017-09-05 01:17:23.61,.
35,2017-09-05 01:15:05.52,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00EB FFFF,2017-09-05 01:17:23.62,.
36,2017-09-05 01:15:05.54,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 0122 FFFF,2017-09-05 01:17:23.64,.
37,2017-09-05 01:15:05.92,SWITCH,BCSU-0 1A003-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 0040 FFFF,2017-09-05 01:17:40.74,.
38,2017-09-05 01:15:05.94,SWITCH,BCSU-0 1A003-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 0041 FFFF,2017-09-05 01:17:40.75,.
39,2017-09-05 01:15:05.96,SWITCH,BCSU-0 1A003-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 0042 FFFF,2017-09-05 01:17:40.77,.
40,2017-09-05 01:15:05.99,SWITCH,BCSU-0 1A003-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 0043 FFFF,2017-09-05 01:17:40.78,.
41,2017-09-05 01:15:05.99,SWITCH,BCSU-0 1A003-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 0044 FFFF,2017-09-05 01:17:40.79,.
42,2017-09-05 01:15:06.01,SWITCH,ETPE-3-0 1A002-03 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,WO-RE WO-EX 0000,2017-09-05 01:17:40.81,
43,2017-09-05 01:15:06.03,SWITCH,BCSU-0 1A003-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 0045 FFFF,2017-09-05 01:17:40.82,.
44,2017-09-05 01:15:06.42,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00BA FFFF,2017-09-05 01:17:44.63,.
45,2017-09-05 01:15:06.44,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00C6 FFFF,2017-09-05 01:17:44.64,.
