Instance, Start Time, Type, NE, Alarm No, Description, Supp Info, Cancle Time, Star Rating
8192,2017-10-27 01:34:58.97,SWITCH,BCSU-5 1A004-08 PCU2_D-7,3019,NETWORK SERVICE ENTITY,01 1771 22,2017-10-27 01:40:38.00,..
8193,2017-10-27 01:34:59.23,SWITCH,BCSU-4 1A004-04 PCU2_D-11,3025,NETWORK SERVICE VIRTUAL,03 177B 34,2017-10-27 01:34:59.23,.
8194,2017-10-27 01:34:59.23,SWITCH,BCSU-4 1A004-04 PCU2_D-11,3020,NETWORK SERVICE VIRTUAL,03 177B 34,2017-10-27 01:34:59.23,.
8195,2017-10-27 01:34:59.23,SWITCH,BCSU-4 1A004-04 PCU2_D-11,3019,NETWORK SERVICE ENTITY,03 177B 34,2017-10-27 01:40:43.41,..
4,2017-10-27 02:59:15.35,SWITCH,BCSU-5 1A004-08 IULMAN,3159,SCTP ASSOCIATION LOST,01 00D1 FFFF,2017-10-27 02:59:19.17,.
8197,2017-10-27 01:35:19.36,SWITCH,BCSU-4 1A004-04 PCU2_E-10,3025,NETWORK SERVICE VIRTUAL,03 177B 30,2017-10-27 01:35:19.36,.
8198,2017-10-27 01:35:19.36,SWITCH,BCSU-4 1A004-04 PCU2_E-10,3020,NETWORK SERVICE VIRTUAL,03 177B 30,2017-10-27 01:35:19.36,.
8199,2017-10-27 01:35:19.36,SWITCH,BCSU-4 1A004-04 PCU2_E-10,3019,NETWORK SERVICE ENTITY,03 177B 30,2017-10-27 01:40:43.38,..
8200,2017-10-27 01:35:29.42,SWITCH,BCSU-5 1A004-08 PCU2_D-4,3025,NETWORK SERVICE VIRTUAL,03 177B 0D,2017-10-27 01:40:36.81,.
8201,2017-10-27 01:35:29.42,SWITCH,BCSU-5 1A004-08 PCU2_D-4,3020,NETWORK SERVICE VIRTUAL,03 177B 0D,2017-10-27 01:40:36.81,.
8202,2017-10-27 01:35:29.47,SWITCH,BCSU-6 1B003-00 PCU2_D-8,3025,NETWORK SERVICE VIRTUAL,01 1771 29,2017-10-27 01:40:35.48,.
8203,2017-10-27 01:35:29.47,SWITCH,BCSU-6 1B003-00 PCU2_D-8,3020,NETWORK SERVICE VIRTUAL,01 1771 29,2017-10-27 01:40:35.48,.
8204,2017-10-27 01:35:29.56,SWITCH,BCSU-5 1A004-08 PCU2_D-3,3025,NETWORK SERVICE VIRTUAL,03 177B 0C,2017-10-27 01:40:36.25,.
8205,2017-10-27 01:35:29.56,SWITCH,BCSU-5 1A004-08 PCU2_D-3,3020,NETWORK SERVICE VIRTUAL,03 177B 0C,2017-10-27 01:40:36.25,.
